issue_type	status	page	fragment	xml_id	line	current	evidence	proposed_action	note
heading	needs-image-review	436	-	2.33	-	Ὠμοτάριχον esse carnem thynni sale	[Cap. XXXIII. De Salsamento crudo. Περὶ Ὠμοταρίχου]	restore printed prefix only if fragment or page image confirms it	missing-fragment
heading	needs-image-review	437	-	2.34	-	Τὸ γάρον, vel, Atticorum more, ὁ	[Cap. XXXIV. De Garo. Περὶ Γάρου]	restore printed prefix only if fragment or page image confirms it	missing-fragment
hyphenation	needs-review	348	b23982500_0002_0356.xml	-	-	Avicen|na	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	348	b23982500_0002_0356.xml	-	-	serio|Ed	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	350	b23982500_0002_0358.xml	-	-	doctri|Ezech	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	351	b23982500_0002_0359.xml	-	-	κιννά|μωμον	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	352	b23982500_0002_0360.xml	-	-	Da|mocrates	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	355	b23982500_0002_0363.xml	-	-	con|vallem	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	355	b23982500_0002_0363.xml	-	-	Con|vallem	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	358	b23982500_0002_0366.xml	-	-	balsa|mum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	358	b23982500_0002_0366.xml	-	-	balsa|mum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	362	b23982500_0002_0370.xml	-	-	Nam|Forskol	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	367	b23982500_0002_0375.xml	-	-	mulieri|bus	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	373	b23982500_0002_0381.xml	-	-	grae|cis	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	382	b23982500_0002_0390.xml	-	-	tar|water	0	set lb@break='no' only when the page-local split is unique	unmatched
