status	page	fragment	fragment_line	reason	match_count	text
unmatched	374	b23982500_0002_0382.xml	17	fragment-paragraph	0	Avicenna disertis verbis41 مقل, quod bdellium est, di-
unmatched	446	b23982500_0002_0452.xml	15	fragment-paragraph	0	Varia animalia bisulca hic nominantur, in quibus δορκάς Antilope Dorcas, πλατύνερος Cervus Dama, δόρ
unmatched	510	b23982500_0002_0516.xml	9	fragment-paragraph	0	Tertium, foliis σισυμβρίου aemulis, et cuius flores ὀργάνου ἀγρίου speciem prae se ferre dicuntur, Pona pri
unmatched	560	b23982500_0002_0566.xml	30	latin-cue-after-short-terminal	0	Errarunt, qui cum Trago⁴ Anthemida tinctoriam
unmatched	566	b23982500_0002_0572.xml	6	fragment-paragraph	0	Ἐμπρίοντα vocat Nicander⁴⁵ ὀνόγυρον; ubi inepte
unmatched	588	b23982500_0002_0594.xml	5	fragment-paragraph	0	Καλαμάγρωστιν, a qua plerique maio-
unmatched	588	b23982500_0002_0594.xml	19	fragment-paragraph	0	In gramine Parnassi, quod gramen
unmatched	588	b23982500_0002_0594.xml	29	fragment-paragraph	0	In Sideritidis cognominibus deest la-
unmatched	629	b23982500_0002_0635.xml	9	chapter-heading	0	Cap. CXXV. Cum Plinius⁴⁰ chamaepeuci folia tri
unmatched	660	b23982500_0002_0666.xml	2	fragment-paragraph	0	cum iam in pentateucho¹ ספיר occurrat, cuius radix in
