page,image_path,separator_bbox,line_index,line_bbox,line_text,emitted_as_body,suggested_previous_page,suggested_previous_note_xml_id,suggested_previous_n,previous_note_tail,candidate_strength,reason
16,ocr/beck2020_fresh/images/beck-0016.png,313 1385 1338 1393,19,324 1402 1331 1454,Cheme χήμη 0.01141,true,,,,,weak,below footnote rule without a printed note label
16,ocr/beck2020_fresh/images/beck-0016.png,313 1385 1338 1393,20,324 1460 1330 1507,Cochlarion κοχλιάριον 0.0121,true,,,,,weak,below footnote rule without a printed note label
16,ocr/beck2020_fresh/images/beck-0016.png,313 1385 1338 1393,21,325 1517 1332 1563,Cyathos κύαθος 0.0456 1,true,,,,,weak,below footnote rule without a printed note label
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,28,105 1757 1407 1793,"B.C. philosophy wrestled frequently with the meanings of “odors” and “tastes,” or",true,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,29,106 1800 1404 1836,"""flavors,"" as specific sensations. Vide Plato, Timaeus, 65 B-66C; Aristotle, On Sense,",true,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,30,106 1843 1410 1879,"442a12-28 and 443b7-11, and On the Soul, 422b10-14. A millennium later, Aetius of",true,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,31,105 1886 1406 1924,"Amida (a physician active in the reign of Justinian [A.D. 527-565]), suggests why",true,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
22,ocr/beck2020_fresh/images/beck-0022.png,174 2068 779 2071,34,176 2099 1479 2136,"? Essential for these aspects is John M. Riddle, *Dioscorides,"" in F. Edward Krantz",false,,,,,weak,below footnote rule without a printed note label
22,ocr/beck2020_fresh/images/beck-0022.png,174 2068 779 2071,35,177 2144 1476 2179,"and Paul Oskar Kristeller, eds. Catalogus Translationum et Commentariorum:",false,,,,,weak,below footnote rule without a printed note label
22,ocr/beck2020_fresh/images/beck-0022.png,174 2068 779 2071,36,175 2187 1478 2220,"Mediaeval and Renaissance Latin Translations and Commentaries, Vol. IV",false,,,,,weak,below footnote rule without a printed note label
