book,lang,source_order,page_n,facs,line_id,source_div_n,source_xml_id,printed_primary,printed_alternate,heading_label,source_heading_text,generated_n,generated_label,generated_source_label,visible_chapter_title,paired_generated_n,issue_codes,image_url,canonical_n,display_label,source_label_policy,decision_note
1,grc,2,11,page_images/page-0043.png,,2,spr-ch-1.2,β,,Περὶ Ἀκόρου[15,Κεφ. β΄. [Περὶ Ἀκόρου[15],1.2,Περὶ Ἀκόρου,Κεφ. β΄. [Περὶ Ἀκόρου.],Κεφ. β΄. [Περὶ Ἀκόρου15.],1.2,LABEL_HAS_NOTE_LEAK;SOURCE_VISIBLE_MISMATCH,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0043.jp2/full/1200,/0/default.jpg",,,,
1,grc,86,90,page_images/page-0122.png,,86,spr-ch-1.86,πϛ,,Περὶ πίτυος.,Κεφ. πϛ΄. [Περὶ πίτυος.],1.86,Περὶ πίτυος,Κεφ. πϛ΄. [Περὶ πίτυος.],Κεφ. πϛ΄. [Περὶ πίτυος.],,PAIR_MISSING_LA,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0122.jp2/full/1200,/0/default.jpg",,,,
1,la,995,90,page_images/page-0122.png,,,,LXXXVI,Pinea,,Cap. LXXXVI. De Pinu (Pinea.) Pinus (Pinea),,,,,,INLINE_HEAD_UNMODELED,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0122.jp2/full/1200,/0/default.jpg",,,,
1,grc,93,96,page_images/page-0128.png,,93,spr-ch-1.93,ϟγ,,Περὶ τοῦ πῶς δεῖ καίειν τὴν ῥητίνην[35,Κεφ. ϟγ΄. [Περὶ τοῦ πῶς δεῖ καίειν τὴν ῥητίνην[35],1.93,Περὶ τοῦ πῶς δεῖ καίειν τὴν ῥητίνην,Κεφ. ϟγ΄. [Περὶ τοῦ πῶς δεῖ καίειν τὴν ῥητίνην.],Κεφ. ϟγ΄. [Περὶ τοῦ πῶς δεῖ καίειν τὴν ῥητίνην35.],1.93,LABEL_HAS_NOTE_LEAK;SOURCE_VISIBLE_MISMATCH,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0128.jp2/full/1200,/0/default.jpg",,,,
1,grc,95,98,page_images/page-0130.png,,65,spr-ch-1.95,ξε,,Περὶ Πισσελαίου.,Κεφ. ξε΄. [Περὶ Πισσελαίου.],1.95,Περὶ Πισσελαίου,Κεφ. ξε΄. [Περὶ Πισσελαίου.],Κεφ. ξε΄. [Περὶ Πισσελαίου.],1.95,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0130.jp2/full/1200,/0/default.jpg",,,,
1,grc,96,99,page_images/page-0131.png,,66,spr-ch-1.96,ξϛ,,Περὶ λιγνύος τῆς ἐξ ὑγρᾶς πίσσης.,Κεφ. ξϛ΄. [Περὶ λιγνύος τῆς ἐξ ὑγρᾶς πίσσης.],1.96,Περὶ λιγνύος τῆς ἐξ ὑγρᾶς πίσσης,Κεφ. ξϛ΄. [Περὶ λιγνύος τῆς ἐξ ὑγρᾶς πίσσης.],Κεφ. ξϛ΄. [Περὶ λιγνύος τῆς ἐξ ὑγρᾶς πίσσης.],1.96,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0131.jp2/full/1200,/0/default.jpg",,,,
1,grc,97,100,page_images/page-0132.png,spr-lb-1-0132-01,67,spr-ch-1.97,ξζ,,Περὶ ξηρᾶς πίσσης.,Κεφ. ξζ΄. [Περὶ ξηρᾶς πίσσης.],1.97,Περὶ ξηρᾶς πίσσης,Κεφ. ξζ΄. [Περὶ ξηρᾶς πίσσης.],Κεφ. ξζ΄. [Περὶ ξηρᾶς πίσσης.],1.97,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0132.jp2/full/1200,/0/default.jpg",,,,
1,grc,98,100,page_images/page-0132.png,,68,spr-ch-1.98,ξη,,Περὶ ζωπίσσης.,Κεφ. ξη΄. [Περὶ ζωπίσσης.],1.98,Περὶ ζωπίσσης,Κεφ. ξη΄. [Περὶ ζωπίσσης.],Κεφ. ξη΄. [Περὶ ζωπίσσης.],1.98,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0132.jp2/full/1200,/0/default.jpg",,,,
1,grc,99,100,page_images/page-0132.png,,69,spr-ch-1.99,ξθ,,Περὶ ἀσφάλτου.,Κεφ. ξθ΄. [Περὶ ἀσφάλτου.],1.99,Περὶ ἀσφάλτου,Κεφ. ξθ΄. [Περὶ ἀσφάλτου.],Κεφ. ξθ΄. [Περὶ ἀσφάλτου.],1.99,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0132.jp2/full/1200,/0/default.jpg",,,,
1,grc,110,109,page_images/page-0141.png,spr-lb-1-0141-12,109,spr-ch-1.109,ρι,ριγ΄,Περὶ Αἰγείρου.,Κεφ. ρι΄ (ριγ΄). [Περὶ Αἰγείρου.] [57] Αἰγείρου τὰ,1.110,Περὶ Αἰγείρου,Κεφ. ρι΄ (ριγ΄). [Περὶ Αἰγείρου.],,1.110,LABEL_HAS_NOTE_LEAK;PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0141.jp2/full/1200,/0/default.jpg",,,,
