page,image_path,separator_bbox,line_index,line_bbox,line_text,emitted_as_body,suggested_previous_page,suggested_previous_note_xml_id,suggested_previous_n,previous_note_tail,candidate_strength,reason
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,28,105 1757 1407 1793,"B.C. philosophy wrestled frequently with the meanings of “odors” and “tastes,” or",false,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,29,106 1800 1404 1836,"""flavors,"" as specific sensations. Vide Plato, Timaeus, 65 B-66C; Aristotle, On Sense,",false,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,30,106 1843 1410 1879,"442a12-28 and 443b7-11, and On the Soul, 422b10-14. A millennium later, Aetius of",false,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
21,ocr/beck2020_fresh/images/beck-0021.png,104 1722 1406 1729,31,105 1886 1406 1924,"Amida (a physician active in the reign of Justinian [A.D. 527-565]), suggests why",false,20,beck-fresh-fn-p0020-001,1,"ogies of ointment- and perfume-production) assumes similar definitions, and fourth-century",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
34,ocr/beck2020_fresh/images/beck-0034.png,222 1509 1524 1513,24,225 1541 941 1575,"and Vivian Nutton, “The Preface,” pp. 204-205.",false,33,beck-fresh-fn-p0033-scratch-003,4," lists him as one of his sources for N. H., XX-XXVIII and XXXII-XXXV. See John Scarborough",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
42,ocr/beck2020_fresh/images/beck-0042.png,219 2165 1524 2168,35,222 2196 913 2231,"Arabia, which is probably the one meant here.",false,41,beck-fresh-fn-p0041-001,23,Oribasius calls it “Sappharetic.” There is a locality called Saphar in southwestern,strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,29,264 1915 1567 1950,"incense. Jacques André, Les noms des plantes dans la Rome antique, p. 170, says that",false,53,beck-fresh-fn-p0053-scratch-001,41,"aps the same as λάκαφθον, an aromatic bark, an ingredient of the Egyptian κῦφι, a compound",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,30,264 1957 1174 1993,"it is a spice of uncertain origin, the product of an Indian tree.",false,53,beck-fresh-fn-p0053-scratch-001,41,"aps the same as λάκαφθον, an aromatic bark, an ingredient of the Egyptian κῦφι, a compound",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,31,263 1992 1565 2034,"?' Jacques André, ibid. p. 47 says that this is a gum of a poorly identified tree. See",false,53,beck-fresh-fn-p0053-scratch-001,41,"aps the same as λάκαφθον, an aromatic bark, an ingredient of the Egyptian κῦφι, a compound",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,32,265 2040 1565 2076,"also J. Innes Miller, The Spice Trade of the Roman Empire, 29 B.C. to 641 A.D., pp.",false,53,beck-fresh-fn-p0053-scratch-001,41,"aps the same as λάκαφθον, an aromatic bark, an ingredient of the Egyptian κῦφι, a compound",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
